# loss accuracy val_loss val_accuracy
2.28170037 0.45483831 0.73539960 0.80352050
0.61401027 0.81767040 0.34929967 0.91115206
0.31222868 0.90241653 0.26233035 0.93137622
0.19485255 0.93825549 0.20890784 0.94736540
0.13483606 0.95685285 0.22732131 0.94546396
0.10409795 0.96581501 0.17602289 0.95721817
0.08361541 0.97254622 0.15766889 0.96488142
0.06899724 0.97735423 0.18118057 0.95641154
0.05927720 0.98056602 0.15263413 0.96635073
0.04886542 0.98396045 0.15066199 0.96805048
