# loss accuracy val_loss val_accuracy
2.80524588 0.26287347 1.90140057 0.45161477
2.07922649 0.41350859 1.64647591 0.54026103
1.94354820 0.45271316 1.56336689 0.54994094
1.85670531 0.47974384 1.57492375 0.56607413
1.83963823 0.48484033 1.51403713 0.58413762
1.78524923 0.49974516 1.76284170 0.51868284
1.78788471 0.49887973 1.43261969 0.60174006
1.78533220 0.49867779 1.50606155 0.58655757
1.76541770 0.50288963 1.42023754 0.61654806
1.78003943 0.50172609 1.62308383 0.55967850
