# loss accuracy val_loss val_accuracy
1.13260055 0.68515188 0.24182323 0.93180835
0.31276372 0.89266586 0.18622565 0.95482701
0.21861058 0.92584115 0.13953157 0.97075856
0.16683105 0.94311154 0.12349979 0.97254473
0.13102597 0.95581436 0.13660148 0.97104663
0.10217650 0.96681505 0.13632911 0.97332257
0.07875272 0.97370976 0.14645824 0.97263116
0.06563870 0.97929668 0.17695676 0.96845382
0.05465141 0.98285460 0.12088209 0.98213822
0.05117713 0.98446047 0.18135862 0.97159404
